latency_ms,success
118,true
116,true
120,true
122,true
122,true
126,true
134,true
148,true
143,true
147,true
150,true
146,true
161,true
151,true
151,true
157,true
165,true
154,true
161,true
42,true
164,true
162,true
166,true
163,true
15,true
40,true
171,true
172,true
8,true
53,true
180,true
182,true
183,true
181,true
186,true
48,true
66,true
44,true
53,true
61,true
59,true
56,true
67,true
48,true
220,true
76,true
65,true
52,true
77,true
226,true
58,true
62,true
24,true
51,true
73,true
19,true
72,true
21,true
86,true
18,true
17,true
73,true
103,true
1,true
32,true
2,true
71,true
91,true
50,true
70,true
91,true
81,true
17,true
27,true
139,true
44,true
139,true
79,true
52,true
10,true
30,true
47,true
17,true
17,true
31,true
7,true
90,true
37,true
16,true
76,true
92,true
22,true
48,true
14,true
48,true
22,true
44,true
43,true
28,true
28,true
59,true
1,true
12,true
6,true
12,true
46,true
27,true
8,true
29,true
17,true
21,true
25,true
13,true
39,true
21,true
34,true
67,true
25,true
31,true
2,true
32,true
10,true
22,true
10,true
11,true
44,true
33,true
62,true
34,true
63,true
40,true
46,true
16,true
23,true
34,true
39,true
15,true
44,true
80,true
95,true
7,true
20,true
8,true
70,true
24,true
5,true
147,true
3,true
19,true
14,true
47,true
8,true
49,true
63,true
11,true
11,true
22,true
24,true
29,true
15,true
11,true
8,true
40,true
14,true
1,true
8,true
33,true
61,true
31,true
8,true
15,true
19,true
26,true
43,true
20,true
10,true
11,true
31,true
16,true
13,true
13,true
18,true
34,true
32,true
37,true
14,true
25,true
39,true
37,true
34,true
30,true
87,true
33,true
25,true
25,true
42,true
33,true
39,true
13,true
34,true
25,true
50,true
9,true
19,true
49,true
48,true
48,true
48,true
53,true
43,true
55,true
23,true
6,true
27,true
33,true
37,true
14,true
15,true
15,true
12,true
34,true
7,true
25,true
7,true
25,true
37,true
20,true
43,true
38,true
12,true
11,true
22,true
48,true
11,true
11,true
9,true
7,true
8,true
13,true
16,true
8,true
9,true
9,true
4,true
19,true
18,true
57,true
17,true
15,true
15,true
17,true
20,true
15,true
21,true
20,true
30,true
20,true
18,true
14,true
24,true
24,true
18,true
24,true
24,true
23,true
18,true
24,true
22,true
18,true
8,true
7,true
9,true
0,true
24,true
7,true
3,true
3,true
7,true
25,true
0,true
23,true
10,true
5,true
23,true
29,true
23,true
12,true
8,true
5,true
8,true
2,true
4,true
30,true
11,true
16,true
13,true
11,true
2,true
9,true
41,true
7,true
3,true
6,true
4,true
13,true
9,true
13,true
1,true
7,true
3,true
12,true
9,true
6,true
13,true
5,true
15,true
3,true
0,true
6,true
12,true
5,true
7,true
9,true
18,true
1,true
3,true
1,true
7,true
5,true
22,true
3,true
13,true
10,true
9,true
12,true
13,true
4,true
4,true
11,true
13,true
11,true
2,true
13,true
11,true
8,true
11,true
3,true
14,true
6,true
8,true
13,true
4,true
10,true
10,true
6,true
6,true
8,true
4,true
9,true
7,true
6,true
6,true
19,true
12,true
5,true
19,true
5,true
11,true
6,true
13,true
1,true
4,true
9,true
19,true
13,true
11,true
9,true
6,true
13,true
3,true
14,true
13,true
1,true
6,true
11,true
6,true
20,true
18,true
14,true
15,true
12,true
7,true
6,true
15,true
8,true
14,true
15,true
12,true
16,true
16,true
18,true
4,true
10,true
3,true
12,true
10,true
10,true
11,true
5,true
5,true
13,true
22,true
21,true
7,true
7,true
10,true
19,true
12,true
12,true
8,true
9,true
6,true
1,true
5,true
19,true
9,true
5,true
11,true
5,true
4,true
12,true
11,true
33,true
3,true
10,true
5,true
7,true
3,true
13,true
8,true
7,true
12,true
6,true
10,true
3,true
10,true
21,true
24,true
1,true
9,true
16,true
10,true
17,true
17,true
9,true
20,true
8,true
26,true
4,true
14,true
5,true
15,true
1,true
14,true
7,true
5,true
13,true
13,true
10,true
7,true
14,true
6,true
5,true
7,true
9,true
10,true
11,true
7,true
9,true
9,true
10,true
7,true
2,true
9,true
4,true
7,true
9,true
7,true
13,true
11,true
4,true
4,true
11,true
4,true
6,true
6,true
6,true
11,true
9,true
6,true
4,true
5,true
4,true
10,true
5,true
17,true
3,true
19,true
8,true
9,true
17,true
5,true
5,true
14,true
3,true
8,true
8,true
5,true
8,true
12,true
3,true
10,true
3,true
3,true
3,true
8,true
5,true
15,true
23,true
11,true
4,true
16,true
0,true
7,true
6,true
9,true
8,true
11,true
16,true
6,true
0,true
2,true
0,true
18,true
5,true
2,true
2,true
12,true
5,true
9,true
14,true
13,true
1,true
0,true
6,true
5,true
6,true
5,true
8,true
11,true
15,true
5,true
3,true
19,true
9,true
2,true
7,true
5,true
5,true
10,true
4,true
2,true
5,true
13,true
13,true
10,true
11,true
18,true
11,true
7,true
24,true
26,true
5,true
8,true
3,true
6,true
7,true
16,true
7,true
8,true
9,true
7,true
10,true
8,true
14,true
9,true
9,true
8,true
8,true
7,true
9,true
13,true
16,true
12,true
3,true
14,true
9,true
10,true
8,true
9,true
9,true
9,true
16,true
11,true
11,true
11,true
2,true
12,true
8,true
4,true
11,true
16,true
4,true
2,true
4,true
8,true
10,true
2,true
16,true
4,true
4,true
3,true
11,true
13,true
3,true
6,true
9,true
3,true
12,true
10,true
15,true
7,true
10,true
1,true
11,true
8,true
6,true
11,true
6,true
12,true
13,true
13,true
4,true
10,true
14,true
4,true
5,true
2,true
7,true
4,true
6,true
6,true
12,true
6,true
11,true
24,true
10,true
20,true
10,true
8,true
6,true
10,true
14,true
19,true
26,true
8,true
11,true
10,true
12,true
16,true
9,true
10,true
22,true
5,true
16,true
24,true
3,true
9,true
19,true
33,true
14,true
14,true
14,true
11,true
9,true
7,true
18,true
18,true
4,true
22,true
16,true
0,true
4,true
6,true
6,true
7,true
5,true
17,true
34,true
4,true
10,true
6,true
4,true
6,true
9,true
10,true
17,true
8,true
4,true
2,true
8,true
25,true
27,true
12,true
17,true
24,true
3,true
7,true
20,true
13,true
9,true
6,true
6,true
23,true
4,true
3,true
15,true
6,true
7,true
4,true
2,true
11,true
15,true
8,true
2,true
4,true
12,true
9,true
6,true
2,true
3,true
11,true
18,true
18,true
3,true
19,true
7,true
2,true
11,true
3,true
5,true
8,true
6,true
12,true
14,true
3,true
11,true
17,true
4,true
4,true
4,true
4,true
6,true
7,true
6,true
18,true
5,true
3,true
13,true
6,true
11,true
17,true
5,true
12,true
5,true
6,true
8,true
5,true
4,true
6,true
2,true
6,true
2,true
4,true
6,true
7,true
5,true
2,true
6,true
8,true
3,true
6,true
7,true
5,true
6,true
7,true
6,true
6,true
17,true
5,true
8,true
12,true
14,true
14,true
13,true
7,true
4,true
11,true
4,true
2,true
5,true
10,true
7,true
5,true
11,true
7,true
13,true
9,true
5,true
4,true
4,true
8,true
11,true
18,true
11,true
6,true
0,true
4,true
6,true
16,true
13,true
6,true
5,true
7,true
5,true
11,true
6,true
17,true
4,true
16,true
1,true
12,true
9,true
16,true
9,true
9,true
11,true
12,true
7,true
11,true
12,true
6,true
6,true
11,true
3,true
11,true
2,true
20,true
6,true
13,true
8,true
8,true
6,true
16,true
14,true
21,true
18,true
20,true
6,true
13,true
9,true
8,true
17,true
8,true
8,true
13,true
18,true
13,true
8,true
7,true
4,true
2,true
4,true
9,true
12,true
27,true
2,true
26,true
14,true
8,true
14,true
11,true
9,true
6,true
8,true
4,true
6,true
3,true
14,true
9,true
8,true
6,true
18,true
7,true
28,true
16,true
12,true
11,true
9,true
5,true
7,true
8,true
8,true
9,true
22,true
11,true
7,true
21,true
4,true
11,true
20,true
7,true
2,true
12,true
4,true
4,true
5,true
4,true
10,true
2,true
4,true
3,true
21,true
4,true
5,true
6,true
6,true
5,true
7,true
5,true
3,true
13,true
4,true
7,true
2,true
12,true
18,true
5,true
4,true
7,true
14,true
4,true
9,true
1,true
5,true
9,true
5,true
6,true
7,true
5,true
19,true
6,true
5,true
6,true
3,true
11,true
1,true
9,true
11,true
9,true
4,true
9,true
4,true
7,true
6,true
25,true
8,true
4,true
10,true
8,true
12,true
10,true
10,true
15,true
23,true
10,true
5,true
14,true
6,true
8,true
9,true
7,true
12,true
16,true
6,true
10,true
8,true
14,true
11,true
14,true
17,true
